model,split,cell_line_display,density_bin,gt_count,pred_count,abs_error,signed_error,gt_count_plot,pred_count_plot
ecSeg,val,SNU16,300+,380,12,368,-368,381,13
ecSeg,train,NCI-H2170,300+,382,99,283,-283,383,100
ecSeg,val,SNU16,300+,382,109,273,-273,383,110
ecSeg,train,NCI-H716,300+,386,87,299,-299,387,88
ecSeg,train,NCI-H2170,300+,390,30,360,-360,391,31
ecSeg,train,NCI-H2170,300+,390,44,346,-346,391,45
ecSeg,train,NCI-H2170,300+,391,383,8,-8,392,384
ecSeg,train,SNU16,300+,392,36,356,-356,393,37
ecSeg,train,SNU16,300+,394,3,391,-391,395,4
ecSeg,train,NCI-H2170,300+,395,114,281,-281,396,115
ecSeg,test,NCI-H2170,300+,396,35,361,-361,397,36
ecSeg,train,NCI-H2170,300+,396,237,159,-159,397,238
ecSeg,train,NCI-H2170,300+,396,13,383,-383,397,14
ecSeg,train,NCI-H2170,300+,398,229,169,-169,399,230
ecSeg,test,NCI-H2170,300+,400,156,244,-244,401,157
ecSeg,train,NCI-H2170,300+,402,329,73,-73,403,330
ecSeg,train,NCI-H2170,300+,402,383,19,-19,403,384
ecSeg,val,NCI-H2170,300+,402,373,29,-29,403,374
ecSeg,test,NCI-H2170,300+,403,308,95,-95,404,309
ecSeg,train,NCI-H2170,300+,404,301,103,-103,405,302
ecSeg,test,NCI-H2170,300+,406,55,351,-351,407,56
ecSeg,train,NCI-H2170,300+,406,125,281,-281,407,126
ecSeg,train,NCI-H2170,300+,407,143,264,-264,408,144
ecSeg,test,NCI-H2170,300+,411,375,36,-36,412,376
ecSeg,train,NCI-H2170,300+,413,63,350,-350,414,64
ecSeg,train,SNU16,300+,413,62,351,-351,414,63
ecSeg,val,SNU16,300+,415,8,407,-407,416,9
ecSeg,train,NCI-H2170,300+,418,57,361,-361,419,58
ecSeg,train,NCI-H2170,300+,419,186,233,-233,420,187
ecSeg,test,SNU16,300+,422,72,350,-350,423,73
ecSeg,train,NCI-H2170,300+,425,487,62,62,426,488
ecSeg,val,SNU16,300+,426,58,368,-368,427,59
ecSeg,val,NCI-H2170,300+,430,104,326,-326,431,105
ecSeg,train,NCI-H2170,300+,431,27,404,-404,432,28
ecSeg,train,SNU16,300+,433,34,399,-399,434,35
ecSeg,train,NCI-H2170,300+,434,359,75,-75,435,360
ecSeg,train,SNU16,300+,434,17,417,-417,435,18
ecSeg,train,NCI-H2170,300+,436,25,411,-411,437,26
ecSeg,train,NCI-H2170,300+,438,21,417,-417,439,22
ecSeg,train,NCI-H2170,300+,438,103,335,-335,439,104
ecSeg,train,NCI-H2170,300+,441,161,280,-280,442,162
ecSeg,val,NCI-H2170,300+,442,118,324,-324,443,119
ecSeg,train,SNU16,300+,444,11,433,-433,445,12
ecSeg,test,NCI-H2170,300+,445,69,376,-376,446,70
ecSeg,test,NCI-H2170,300+,446,423,23,-23,447,424
ecSeg,train,NCI-H2170,300+,446,346,100,-100,447,347
ecSeg,val,NCI-H2170,300+,451,198,253,-253,452,199
ecSeg,train,NCI-H2170,300+,453,347,106,-106,454,348
ecSeg,train,NCI-H2170,300+,456,531,75,75,457,532
ecSeg,train,NCI-H2170,300+,458,365,93,-93,459,366
ecSeg,train,SNU16,300+,459,10,449,-449,460,11
ecSeg,train,NCI-H2170,300+,460,302,158,-158,461,303
ecSeg,train,NCI-H2170,300+,462,253,209,-209,463,254
ecSeg,train,NCI-H716,300+,468,186,282,-282,469,187
ecSeg,train,SNU16,300+,471,64,407,-407,472,65
ecSeg,test,NCI-H2170,300+,472,135,337,-337,473,136
ecSeg,val,NCI-H2170,300+,473,270,203,-203,474,271
ecSeg,train,NCI-H2170,300+,475,47,428,-428,476,48
ecSeg,train,NCI-H2170,300+,478,323,155,-155,479,324
ecSeg,test,NCI-H2170,300+,478,147,331,-331,479,148
ecSeg,train,NCI-H2170,300+,479,51,428,-428,480,52
ecSeg,train,SNU16,300+,481,41,440,-440,482,42
ecSeg,train,NCI-H2170,300+,489,7,482,-482,490,8
ecSeg,train,NCI-H2170,300+,491,461,30,-30,492,462
ecSeg,train,NCI-H2170,300+,495,253,242,-242,496,254
ecSeg,train,NCI-H2170,300+,497,291,206,-206,498,292
ecSeg,train,NCI-H2170,300+,497,26,471,-471,498,27
ecSeg,train,NCI-H2170,300+,498,35,463,-463,499,36
ecSeg,test,SNU16,300+,499,43,456,-456,500,44
ecSeg,train,NCI-H2170,300+,503,18,485,-485,504,19
ecSeg,train,NCI-H2170,300+,504,278,226,-226,505,279
ecSeg,train,NCI-H2170,300+,505,471,34,-34,506,472
ecSeg,train,NCI-H2170,300+,506,338,168,-168,507,339
ecSeg,train,NCI-H2170,300+,513,81,432,-432,514,82
ecSeg,train,NCI-H2170,300+,517,481,36,-36,518,482
ecSeg,val,NCI-H2170,300+,520,19,501,-501,521,20
ecSeg,train,NCI-H2170,300+,520,70,450,-450,521,71
ecSeg,test,NCI-H2170,300+,521,389,132,-132,522,390
ecSeg,train,NCI-H2170,300+,523,277,246,-246,524,278
ecSeg,val,NCI-H2170,300+,526,204,322,-322,527,205
ecSeg,train,SNU16,300+,527,4,523,-523,528,5
ecSeg,train,NCI-H2170,300+,534,386,148,-148,535,387
ecSeg,train,NCI-H2170,300+,536,45,491,-491,537,46
ecSeg,test,NCI-H2170,300+,539,406,133,-133,540,407
ecSeg,val,NCI-H2170,300+,557,29,528,-528,558,30
ecSeg,test,NCI-H2170,300+,559,549,10,-10,560,550
ecSeg,train,NCI-H2170,300+,560,456,104,-104,561,457
ecSeg,val,NCI-H2170,300+,567,211,356,-356,568,212
ecSeg,train,NCI-H2170,300+,572,86,486,-486,573,87
ecSeg,train,NCI-H2170,300+,574,167,407,-407,575,168
ecSeg,train,NCI-H2170,300+,589,285,304,-304,590,286
ecSeg,train,NCI-H2170,300+,597,505,92,-92,598,506
ecSeg,train,NCI-H2170,300+,597,360,237,-237,598,361
ecSeg,train,NCI-H2170,300+,604,515,89,-89,605,516
ecSeg,train,NCI-H2170,300+,604,116,488,-488,605,117
ecSeg,train,NCI-H2170,300+,611,207,404,-404,612,208
ecSeg,train,NCI-H2170,300+,611,217,394,-394,612,218
ecSeg,train,NCI-H2170,300+,613,257,356,-356,614,258
ecSeg,train,SNU16,300+,635,52,583,-583,636,53
ecSeg,train,SNU16,300+,637,55,582,-582,638,56
ecSeg,test,NCI-H2170,300+,642,224,418,-418,643,225
ecSeg,train,SNU16,300+,663,10,653,-653,664,11
ecSeg,train,NCI-H2170,300+,664,135,529,-529,665,136
ecSeg,train,SNU16,300+,664,62,602,-602,665,63
ecSeg,test,SNU16,300+,670,21,649,-649,671,22
ecSeg,train,NCI-H2170,300+,676,380,296,-296,677,381
ecSeg,val,SNU16,300+,705,49,656,-656,706,50
ecSeg,train,NCI-H2170,300+,742,243,499,-499,743,244
ecSeg,val,NCI-H2170,300+,763,698,65,-65,764,699
ecSeg,train,NCI-H2170,300+,769,695,74,-74,770,696
ecSeg,train,NCI-H2170,300+,783,89,694,-694,784,90
ecSeg,train,NCI-H2170,300+,801,452,349,-349,802,453
ecSeg,train,NCI-H2170,300+,829,609,220,-220,830,610
ecSeg,train,NCI-H2170,300+,832,360,472,-472,833,361
ecSeg,val,NCI-H2170,300+,835,483,352,-352,836,484
ecSeg,train,NCI-H2170,300+,843,296,547,-547,844,297
ecSeg,train,NCI-H2170,300+,862,657,205,-205,863,658
ecSeg,val,NCI-H2170,300+,867,718,149,-149,868,719
ecSeg,train,NCI-H2170,300+,909,312,597,-597,910,313
ecSeg,test,NCI-H2170,300+,912,830,82,-82,913,831
ecSeg,train,SNU16,300+,990,27,963,-963,991,28
ecSeg,train,SNU16,300+,1231,45,1186,-1186,1232,46
ecSeg,train,NCI-H2170,300+,1687,526,1161,-1161,1688,527
MIA,train,COLO320DM,0-9,1,48,47,47,2,49
MIA,train,COLO320DM,0-9,4,1,3,-3,5,2
MIA,test,COLO320DM,0-9,4,32,28,28,5,33
MIA,train,COLO320DM,0-9,4,26,22,22,5,27
MIA,val,COLO320DM,0-9,4,21,17,17,5,22
MIA,train,COLO320DM,0-9,7,11,4,4,8,12
MIA,val,NCI-H2170,0-9,9,8,1,-1,10,9
MIA,train,COLO320DM,10-49,10,14,4,4,11,15
MIA,train,COLO320DM,10-49,12,7,5,-5,13,8
MIA,val,COLO320DM,10-49,13,11,2,-2,14,12
MIA,train,COLO320DM,10-49,15,10,5,-5,16,11
MIA,train,COLO320DM,10-49,15,8,7,-7,16,9
MIA,train,NCI-H2170,10-49,15,40,25,25,16,41
MIA,test,NCI-H2170,10-49,15,7,8,-8,16,8
MIA,train,COLO320DM,10-49,16,6,10,-10,17,7
MIA,train,NCI-H2170,10-49,16,21,5,5,17,22
MIA,val,NCI-H2170,10-49,17,24,7,7,18,25
MIA,val,COLO320DM,10-49,18,19,1,1,19,20
MIA,train,NCI-H2170,10-49,18,35,17,17,19,36
MIA,train,COLO320DM,10-49,22,8,14,-14,23,9
MIA,test,COLO320DM,10-49,22,24,2,2,23,25
MIA,train,NCI-H2170,10-49,22,39,17,17,23,40
MIA,train,COLO320DM,10-49,23,14,9,-9,24,15
MIA,test,COLO320DM,10-49,24,20,4,-4,25,21
MIA,train,NCI-H2170,10-49,24,20,4,-4,25,21
MIA,train,NCI-H2170,10-49,24,12,12,-12,25,13
MIA,val,NCI-H2170,10-49,24,26,2,2,25,27
MIA,train,COLO320DM,10-49,26,24,2,-2,27,25
MIA,train,NCI-H2170,10-49,26,28,2,2,27,29
MIA,train,COLO320DM,10-49,27,9,18,-18,28,10
MIA,train,NCI-H2170,10-49,27,53,26,26,28,54
MIA,train,NCI-H2170,10-49,27,19,8,-8,28,20
MIA,train,COLO320DM,10-49,30,47,17,17,31,48
MIA,train,COLO320DM,10-49,30,31,1,1,31,32
MIA,train,NCI-H2170,10-49,30,41,11,11,31,42
MIA,test,COLO320DM,10-49,31,36,5,5,32,37
MIA,test,COLO320DM,10-49,32,23,9,-9,33,24
MIA,train,COLO320DM,10-49,32,25,7,-7,33,26
MIA,train,NCI-H2170,10-49,32,42,10,10,33,43
MIA,val,NCI-H2170,10-49,33,32,1,-1,34,33
MIA,train,COLO320DM,10-49,34,27,7,-7,35,28
MIA,train,NCI-H2170,10-49,34,40,6,6,35,41
MIA,train,COLO320DM,10-49,35,20,15,-15,36,21
MIA,train,NCI-H2170,10-49,35,50,15,15,36,51
MIA,val,NCI-H2170,10-49,35,30,5,-5,36,31
MIA,train,NCI-H2170,10-49,35,6,29,-29,36,7
MIA,val,NCI-H2170,10-49,35,22,13,-13,36,23
MIA,train,COLO320DM,10-49,36,23,13,-13,37,24
MIA,test,NCI-H2170,10-49,36,29,7,-7,37,30
MIA,train,NCI-H2170,10-49,36,20,16,-16,37,21
MIA,train,COLO320DM,10-49,37,35,2,-2,38,36
MIA,test,NCI-H2170,10-49,38,19,19,-19,39,20
MIA,train,COLO320DM,10-49,39,21,18,-18,40,22
MIA,train,NCI-H2170,10-49,39,43,4,4,40,44
MIA,val,COLO320DM,10-49,40,27,13,-13,41,28
MIA,test,NCI-H2170,10-49,40,18,22,-22,41,19
MIA,train,NCI-H2170,10-49,40,31,9,-9,41,32
MIA,train,COLO320DM,10-49,41,39,2,-2,42,40
MIA,test,COLO320DM,10-49,41,25,16,-16,42,26
MIA,train,NCI-H2170,10-49,41,61,20,20,42,62
MIA,train,NCI-H2170,10-49,41,42,1,1,42,43
MIA,train,NCI-H2170,10-49,41,24,17,-17,42,25
MIA,train,NCI-H2170,10-49,42,50,8,8,43,51
MIA,train,NCI-H2170,10-49,43,49,6,6,44,50
MIA,train,NCI-H2170,10-49,43,36,7,-7,44,37
MIA,train,NCI-H2170,10-49,43,22,21,-21,44,23
MIA,train,COLO320DM,10-49,44,33,11,-11,45,34
MIA,train,NCI-H2170,10-49,44,112,68,68,45,113
MIA,test,NCI-H2170,10-49,44,28,16,-16,45,29
MIA,train,COLO320DM,10-49,45,29,16,-16,46,30
MIA,train,COLO320DM,10-49,45,39,6,-6,46,40
MIA,train,NCI-H2170,10-49,45,42,3,-3,46,43
MIA,train,COLO320DM,10-49,46,35,11,-11,47,36
MIA,test,NCI-H2170,10-49,46,43,3,-3,47,44
MIA,val,NCI-H2170,10-49,46,53,7,7,47,54
MIA,train,NCI-H2170,10-49,46,24,22,-22,47,25
MIA,train,NCI-H2170,10-49,46,42,4,-4,47,43
MIA,train,COLO320DM,10-49,47,41,6,-6,48,42
MIA,train,NCI-H2170,10-49,47,35,12,-12,48,36
MIA,train,NCI-H2170,10-49,47,43,4,-4,48,44
MIA,val,NCI-H2170,10-49,47,49,2,2,48,50
MIA,test,NCI-H2170,10-49,48,75,27,27,49,76
MIA,val,NCI-H2170,10-49,48,19,29,-29,49,20
MIA,val,NCI-H2170,10-49,48,41,7,-7,49,42
MIA,test,COLO320DM,10-49,49,52,3,3,50,53
MIA,train,NCI-H2170,10-49,49,93,44,44,50,94
MIA,train,NCI-H2170,50-149,50,45,5,-5,51,46
MIA,train,NCI-H2170,50-149,50,38,12,-12,51,39
MIA,train,COLO320DM,50-149,51,51,0,0,52,52
MIA,test,NCI-H2170,50-149,51,31,20,-20,52,32
MIA,train,NCI-H2170,50-149,51,43,8,-8,52,44
MIA,val,NCI-H2170,50-149,51,57,6,6,52,58
MIA,train,NCI-H2170,50-149,51,28,23,-23,52,29
MIA,train,COLO320DM,50-149,52,46,6,-6,53,47
MIA,val,NCI-H2170,50-149,52,49,3,-3,53,50
MIA,test,NCI-H2170,50-149,52,53,1,1,53,54
MIA,test,NCI-H2170,50-149,52,29,23,-23,53,30
MIA,val,NCI-H2170,50-149,52,67,15,15,53,68
MIA,train,COLO320DM,50-149,53,55,2,2,54,56
MIA,train,COLO320DM,50-149,53,61,8,8,54,62
MIA,train,NCI-H2170,50-149,53,61,8,8,54,62
MIA,train,NCI-H2170,50-149,53,18,35,-35,54,19
MIA,train,NCI-H2170,50-149,53,58,5,5,54,59
MIA,train,NCI-H2170,50-149,53,49,4,-4,54,50
MIA,train,NCI-H2170,50-149,53,32,21,-21,54,33
MIA,test,COLO320DM,50-149,54,50,4,-4,55,51
MIA,train,NCI-H2170,50-149,54,37,17,-17,55,38
MIA,train,NCI-H2170,50-149,54,28,26,-26,55,29
MIA,train,NCI-H2170,50-149,54,34,20,-20,55,35
MIA,val,NCI-H2170,50-149,54,48,6,-6,55,49
MIA,train,COLO320DM,50-149,55,55,0,0,56,56
MIA,test,NCI-H2170,50-149,55,72,17,17,56,73
MIA,test,NCI-H2170,50-149,55,54,1,-1,56,55
MIA,val,NCI-H2170,50-149,56,34,22,-22,57,35
MIA,train,NCI-H2170,50-149,56,89,33,33,57,90
MIA,test,COLO320DM,50-149,57,28,29,-29,58,29
MIA,val,COLO320DM,50-149,57,54,3,-3,58,55
MIA,train,SNU16,50-149,57,25,32,-32,58,26
MIA,val,NCI-H2170,50-149,58,67,9,9,59,68
MIA,val,NCI-H2170,50-149,58,66,8,8,59,67
MIA,train,NCI-H2170,50-149,58,58,0,0,59,59
MIA,train,NCI-H2170,50-149,58,39,19,-19,59,40
MIA,val,COLO320DM,50-149,59,30,29,-29,60,31
MIA,train,COLO320DM,50-149,59,46,13,-13,60,47
MIA,train,COLO320DM,50-149,59,54,5,-5,60,55
MIA,test,NCI-H2170,50-149,59,62,3,3,60,63
MIA,train,NCI-H2170,50-149,60,31,29,-29,61,32
MIA,train,NCI-H2170,50-149,60,47,13,-13,61,48
MIA,train,COLO320DM,50-149,61,42,19,-19,62,43
MIA,test,NCI-H2170,50-149,61,28,33,-33,62,29
MIA,train,NCI-H2170,50-149,61,72,11,11,62,73
MIA,train,NCI-H2170,50-149,61,39,22,-22,62,40
MIA,test,NCI-H2170,50-149,61,46,15,-15,62,47
MIA,val,NCI-H2170,50-149,61,110,49,49,62,111
MIA,test,NCI-H2170,50-149,62,75,13,13,63,76
MIA,train,NCI-H2170,50-149,62,66,4,4,63,67
MIA,train,NCI-H2170,50-149,62,40,22,-22,63,41
MIA,train,NCI-H2170,50-149,62,50,12,-12,63,51
MIA,train,COLO320DM,50-149,63,43,20,-20,64,44
MIA,train,NCI-H2170,50-149,63,65,2,2,64,66
MIA,test,NCI-H2170,50-149,63,76,13,13,64,77
MIA,train,NCI-H2170,50-149,63,36,27,-27,64,37
MIA,train,NCI-H2170,50-149,64,49,15,-15,65,50
MIA,train,NCI-H2170,50-149,64,64,0,0,65,65
MIA,train,NCI-H2170,50-149,64,68,4,4,65,69
MIA,test,NCI-H2170,50-149,64,56,8,-8,65,57
MIA,train,COLO320DM,50-149,65,46,19,-19,66,47
MIA,train,NCI-H2170,50-149,65,71,6,6,66,72
MIA,test,NCI-H2170,50-149,65,109,44,44,66,110
MIA,train,NCI-H2170,50-149,65,61,4,-4,66,62
MIA,train,NCI-H2170,50-149,65,41,24,-24,66,42
MIA,train,NCI-H2170,50-149,66,62,4,-4,67,63
MIA,train,NCI-H2170,50-149,66,66,0,0,67,67
MIA,train,NCI-H2170,50-149,66,34,32,-32,67,35
MIA,test,NCI-H2170,50-149,67,48,19,-19,68,49
MIA,test,NCI-H2170,50-149,67,52,15,-15,68,53
MIA,train,NCI-H2170,50-149,67,39,28,-28,68,40
MIA,train,NCI-H2170,50-149,68,38,30,-30,69,39
MIA,train,NCI-H2170,50-149,69,85,16,16,70,86
MIA,train,NCI-H2170,50-149,69,62,7,-7,70,63
MIA,train,NCI-H2170,50-149,69,46,23,-23,70,47
MIA,train,NCI-H2170,50-149,69,49,20,-20,70,50
MIA,train,NCI-H2170,50-149,69,37,32,-32,70,38
MIA,train,NCI-H2170,50-149,70,94,24,24,71,95
MIA,train,NCI-H2170,50-149,70,53,17,-17,71,54
MIA,val,NCI-H2170,50-149,70,52,18,-18,71,53
MIA,train,NCI-H2170,50-149,70,30,40,-40,71,31
MIA,train,NCI-H2170,50-149,70,30,40,-40,71,31
MIA,val,COLO320DM,50-149,71,56,15,-15,72,57
MIA,train,NCI-H2170,50-149,71,74,3,3,72,75
MIA,val,NCI-H2170,50-149,71,70,1,-1,72,71
MIA,train,NCI-H2170,50-149,71,94,23,23,72,95
MIA,test,NCI-H2170,50-149,71,59,12,-12,72,60
MIA,train,NCI-H2170,50-149,71,68,3,-3,72,69
MIA,train,NCI-H2170,50-149,71,60,11,-11,72,61
MIA,test,NCI-H716,50-149,71,53,18,-18,72,54
MIA,train,NCI-H2170,50-149,72,74,2,2,73,75
MIA,test,NCI-H2170,50-149,72,36,36,-36,73,37
MIA,train,NCI-H716,50-149,72,53,19,-19,73,54
MIA,train,NCI-H2170,50-149,73,81,8,8,74,82
MIA,train,NCI-H2170,50-149,73,42,31,-31,74,43
MIA,train,NCI-H2170,50-149,73,80,7,7,74,81
MIA,train,COLO320DM,50-149,74,69,5,-5,75,70
MIA,val,COLO320DM,50-149,74,63,11,-11,75,64
MIA,train,NCI-H2170,50-149,74,60,14,-14,75,61
MIA,train,NCI-H2170,50-149,74,62,12,-12,75,63
MIA,train,NCI-H2170,50-149,74,39,35,-35,75,40
MIA,train,NCI-H2170,50-149,74,45,29,-29,75,46
MIA,train,NCI-H2170,50-149,75,69,6,-6,76,70
MIA,train,NCI-H2170,50-149,75,70,5,-5,76,71
MIA,train,NCI-H2170,50-149,75,30,45,-45,76,31
MIA,val,NCI-H2170,50-149,75,70,5,-5,76,71
MIA,train,NCI-H2170,50-149,75,54,21,-21,76,55
MIA,train,NCI-H2170,50-149,75,45,30,-30,76,46
MIA,train,NCI-H2170,50-149,75,70,5,-5,76,71
MIA,train,NCI-H2170,50-149,76,147,71,71,77,148
MIA,train,NCI-H2170,50-149,76,92,16,16,77,93
MIA,train,NCI-H2170,50-149,76,74,2,-2,77,75
MIA,train,NCI-H2170,50-149,76,77,1,1,77,78
MIA,train,NCI-H2170,50-149,76,62,14,-14,77,63
MIA,train,NCI-H2170,50-149,76,71,5,-5,77,72
MIA,train,NCI-H716,50-149,76,47,29,-29,77,48
MIA,train,NCI-H2170,50-149,77,103,26,26,78,104
MIA,train,NCI-H2170,50-149,77,74,3,-3,78,75
MIA,val,NCI-H2170,50-149,77,74,3,-3,78,75
MIA,train,SNU16,50-149,77,73,4,-4,78,74
MIA,val,NCI-H2170,50-149,78,78,0,0,79,79
MIA,test,NCI-H2170,50-149,78,72,6,-6,79,73
MIA,train,NCI-H2170,50-149,78,63,15,-15,79,64
MIA,train,NCI-H2170,50-149,78,76,2,-2,79,77
MIA,train,NCI-H2170,50-149,78,92,14,14,79,93
MIA,train,NCI-H2170,50-149,78,60,18,-18,79,61
MIA,train,NCI-H2170,50-149,78,84,6,6,79,85
MIA,train,NCI-H2170,50-149,78,133,55,55,79,134
MIA,test,NCI-H2170,50-149,79,79,0,0,80,80
MIA,val,NCI-H2170,50-149,79,74,5,-5,80,75
MIA,train,NCI-H2170,50-149,79,72,7,-7,80,73
MIA,test,NCI-H2170,50-149,79,68,11,-11,80,69
MIA,train,NCI-H2170,50-149,79,85,6,6,80,86
MIA,train,COLO320DM,50-149,80,51,29,-29,81,52
MIA,test,NCI-H2170,50-149,80,58,22,-22,81,59
MIA,train,NCI-H2170,50-149,81,73,8,-8,82,74
MIA,train,NCI-H2170,50-149,81,55,26,-26,82,56
MIA,val,NCI-H2170,50-149,81,75,6,-6,82,76
MIA,val,NCI-H2170,50-149,81,29,52,-52,82,30
MIA,train,NCI-H2170,50-149,82,55,27,-27,83,56
MIA,train,NCI-H2170,50-149,82,57,25,-25,83,58
MIA,train,COLO320DM,50-149,83,57,26,-26,84,58
MIA,test,NCI-H2170,50-149,83,77,6,-6,84,78
MIA,train,NCI-H2170,50-149,83,83,0,0,84,84
MIA,train,NCI-H2170,50-149,83,60,23,-23,84,61
MIA,test,NCI-H2170,50-149,84,80,4,-4,85,81
MIA,train,NCI-H2170,50-149,84,84,0,0,85,85
MIA,train,NCI-H2170,50-149,84,41,43,-43,85,42
MIA,test,NCI-H2170,50-149,84,29,55,-55,85,30
MIA,val,NCI-H2170,50-149,85,80,5,-5,86,81
MIA,test,NCI-H2170,50-149,85,58,27,-27,86,59
MIA,test,NCI-H2170,50-149,85,80,5,-5,86,81
MIA,train,NCI-H2170,50-149,85,26,59,-59,86,27
MIA,train,NCI-H2170,50-149,86,90,4,4,87,91
MIA,val,NCI-H2170,50-149,86,80,6,-6,87,81
MIA,train,NCI-H2170,50-149,86,21,65,-65,87,22
MIA,train,NCI-H2170,50-149,86,72,14,-14,87,73
MIA,train,NCI-H2170,50-149,86,60,26,-26,87,61
MIA,train,NCI-H2170,50-149,86,69,17,-17,87,70
MIA,test,NCI-H2170,50-149,86,65,21,-21,87,66
MIA,train,COLO320DM,50-149,87,75,12,-12,88,76
MIA,train,NCI-H2170,50-149,87,83,4,-4,88,84
MIA,test,NCI-H2170,50-149,87,80,7,-7,88,81
MIA,val,NCI-H2170,50-149,87,66,21,-21,88,67
MIA,test,NCI-H2170,50-149,87,25,62,-62,88,26
MIA,train,NCI-H2170,50-149,87,81,6,-6,88,82
MIA,train,NCI-H2170,50-149,88,86,2,-2,89,87
MIA,train,NCI-H2170,50-149,88,85,3,-3,89,86
MIA,train,NCI-H2170,50-149,88,69,19,-19,89,70
MIA,train,NCI-H2170,50-149,88,57,31,-31,89,58
MIA,train,NCI-H2170,50-149,88,118,30,30,89,119
MIA,train,COLO320DM,50-149,89,74,15,-15,90,75
MIA,val,NCI-H2170,50-149,89,86,3,-3,90,87
MIA,val,NCI-H2170,50-149,89,61,28,-28,90,62
MIA,test,NCI-H2170,50-149,89,62,27,-27,90,63
MIA,train,NCI-H2170,50-149,89,74,15,-15,90,75
MIA,test,NCI-H2170,50-149,89,58,31,-31,90,59
MIA,train,NCI-H716,50-149,89,67,22,-22,90,68
MIA,train,NCI-H2170,50-149,90,89,1,-1,91,90
MIA,train,NCI-H2170,50-149,90,72,18,-18,91,73
MIA,test,NCI-H2170,50-149,90,92,2,2,91,93
MIA,test,NCI-H2170,50-149,90,89,1,-1,91,90
MIA,train,SNU16,50-149,90,74,16,-16,91,75
MIA,test,COLO320DM,50-149,91,87,4,-4,92,88
MIA,train,NCI-H2170,50-149,91,95,4,4,92,96
MIA,val,NCI-H2170,50-149,91,84,7,-7,92,85
MIA,val,NCI-H2170,50-149,91,81,10,-10,92,82
MIA,train,NCI-H2170,50-149,92,104,12,12,93,105
MIA,val,NCI-H2170,50-149,92,89,3,-3,93,90
MIA,val,NCI-H2170,50-149,92,58,34,-34,93,59
MIA,train,NCI-H2170,50-149,93,101,8,8,94,102
MIA,train,NCI-H2170,50-149,93,91,2,-2,94,92
MIA,train,NCI-H2170,50-149,93,94,1,1,94,95
MIA,test,NCI-H2170,50-149,93,69,24,-24,94,70
MIA,train,NCI-H2170,50-149,93,54,39,-39,94,55
MIA,test,NCI-H2170,50-149,93,92,1,-1,94,93
MIA,train,NCI-H2170,50-149,93,86,7,-7,94,87
MIA,train,NCI-H2170,50-149,93,77,16,-16,94,78
MIA,val,NCI-H2170,50-149,94,100,6,6,95,101
MIA,val,NCI-H2170,50-149,94,98,4,4,95,99
MIA,val,NCI-H2170,50-149,94,73,21,-21,95,74
MIA,train,NCI-H2170,50-149,94,99,5,5,95,100
MIA,train,NCI-H2170,50-149,94,90,4,-4,95,91
MIA,train,NCI-H2170,50-149,94,45,49,-49,95,46
MIA,train,NCI-H2170,50-149,94,33,61,-61,95,34
MIA,train,NCI-H2170,50-149,95,92,3,-3,96,93
MIA,train,NCI-H2170,50-149,95,87,8,-8,96,88
MIA,train,NCI-H2170,50-149,96,84,12,-12,97,85
MIA,train,NCI-H2170,50-149,96,95,1,-1,97,96
MIA,test,NCI-H2170,50-149,96,76,20,-20,97,77
MIA,val,NCI-H2170,50-149,96,88,8,-8,97,89
MIA,train,NCI-H2170,50-149,96,101,5,5,97,102
MIA,train,NCI-H2170,50-149,97,100,3,3,98,101
MIA,train,NCI-H2170,50-149,97,80,17,-17,98,81
MIA,train,NCI-H2170,50-149,97,109,12,12,98,110
MIA,test,NCI-H2170,50-149,97,76,21,-21,98,77
MIA,train,NCI-H2170,50-149,97,33,64,-64,98,34
MIA,train,NCI-H2170,50-149,97,67,30,-30,98,68
MIA,val,SNU16,50-149,97,60,37,-37,98,61
MIA,train,SNU16,50-149,97,62,35,-35,98,63
MIA,train,NCI-H2170,50-149,98,89,9,-9,99,90
MIA,train,NCI-H2170,50-149,98,116,18,18,99,117
MIA,train,NCI-H2170,50-149,98,83,15,-15,99,84
MIA,train,NCI-H2170,50-149,98,79,19,-19,99,80
MIA,train,NCI-H2170,50-149,99,103,4,4,100,104
MIA,train,NCI-H2170,50-149,99,55,44,-44,100,56
MIA,train,NCI-H2170,50-149,99,50,49,-49,100,51
MIA,train,NCI-H2170,50-149,99,79,20,-20,100,80
MIA,train,NCI-H2170,50-149,99,28,71,-71,100,29
MIA,train,NCI-H2170,50-149,99,80,19,-19,100,81
MIA,train,NCI-H2170,50-149,99,70,29,-29,100,71
MIA,train,NCI-H2170,50-149,99,69,30,-30,100,70
MIA,train,NCI-H2170,50-149,99,69,30,-30,100,70
MIA,train,NCI-H2170,50-149,100,90,10,-10,101,91
MIA,train,COLO320DM,50-149,101,89,12,-12,102,90
MIA,train,NCI-H2170,50-149,101,98,3,-3,102,99
MIA,train,NCI-H2170,50-149,101,89,12,-12,102,90
MIA,test,NCI-H2170,50-149,101,80,21,-21,102,81
MIA,train,NCI-H2170,50-149,101,65,36,-36,102,66
MIA,train,NCI-H2170,50-149,101,39,62,-62,102,40
MIA,train,NCI-H2170,50-149,101,46,55,-55,102,47
MIA,test,NCI-H716,50-149,101,80,21,-21,102,81
MIA,train,SNU16,50-149,101,14,87,-87,102,15
MIA,train,SNU16,50-149,101,117,16,16,102,118
MIA,test,NCI-H2170,50-149,102,96,6,-6,103,97
