model,split,policy,d_max,iou_min,tp,fp,fn,ignored,precision,recall,f1
MIA,test,or,5.0,0.3,18662,8707,14966,4,0.6818663451350068,0.5549542048293089,0.6118989458497959
MIA,test,or,5.0,0.4,18662,8707,14966,4,0.6818663451350068,0.5549542048293089,0.6118989458497959
MIA,test,or,5.0,0.5,18662,8707,14966,4,0.6818663451350068,0.5549542048293089,0.6118989458497959
MIA,test,or,10.0,0.0,23846,3287,9782,240,0.8788560056020345,0.7091114547400975,0.7849113740721845
MIA,test,or,10.0,0.05,23844,3289,9784,240,0.878782294622784,0.7090519804924468,0.7848455423709287
MIA,test,or,10.0,0.1,23842,3291,9786,240,0.8787085836435337,0.708992506244796,0.784779710669673
MIA,test,or,10.0,0.2,23842,3291,9786,240,0.8787085836435337,0.708992506244796,0.784779710669673
MIA,test,or,10.0,0.3,23842,3291,9786,240,0.8787085836435337,0.708992506244796,0.784779710669673
MIA,test,or,10.0,0.4,23842,3291,9786,240,0.8787085836435337,0.708992506244796,0.784779710669673
MIA,test,or,10.0,0.5,23842,3291,9786,240,0.8787085836435337,0.708992506244796,0.784779710669673
MIA,test,or,15.0,0.0,24249,2578,9379,546,0.9039027845081448,0.7210955156417271,0.8022165246877843
MIA,test,or,15.0,0.05,24249,2578,9379,546,0.9039027845081448,0.7210955156417271,0.8022165246877843
MIA,test,or,15.0,0.1,24249,2578,9379,546,0.9039027845081448,0.7210955156417271,0.8022165246877843
MIA,test,or,15.0,0.2,24249,2578,9379,546,0.9039027845081448,0.7210955156417271,0.8022165246877843
MIA,test,or,15.0,0.3,24249,2578,9379,546,0.9039027845081448,0.7210955156417271,0.8022165246877843
MIA,test,or,15.0,0.4,24249,2578,9379,546,0.9039027845081448,0.7210955156417271,0.8022165246877843
MIA,test,or,15.0,0.5,24249,2578,9379,546,0.9039027845081448,0.7210955156417271,0.8022165246877843
MIA,test,or,20.0,0.0,24482,2136,9146,755,0.9197535502291683,0.7280242654930416,0.8127344553995286
MIA,test,or,20.0,0.05,24482,2136,9146,755,0.9197535502291683,0.7280242654930416,0.8127344553995286
MIA,test,or,20.0,0.1,24482,2136,9146,755,0.9197535502291683,0.7280242654930416,0.8127344553995286
MIA,test,or,20.0,0.2,24482,2136,9146,755,0.9197535502291683,0.7280242654930416,0.8127344553995286
MIA,test,or,20.0,0.3,24482,2136,9146,755,0.9197535502291683,0.7280242654930416,0.8127344553995286
MIA,test,or,20.0,0.4,24482,2136,9146,755,0.9197535502291683,0.7280242654930416,0.8127344553995286
MIA,test,or,20.0,0.5,24482,2136,9146,755,0.9197535502291683,0.7280242654930416,0.8127344553995286
MIA,test,or,25.0,0.0,24696,1802,8932,875,0.9319948675371726,0.7343880099916736,0.8214749027043209
MIA,test,or,25.0,0.05,24696,1802,8932,875,0.9319948675371726,0.7343880099916736,0.8214749027043209
MIA,test,or,25.0,0.1,24696,1802,8932,875,0.9319948675371726,0.7343880099916736,0.8214749027043209
MIA,test,or,25.0,0.2,24696,1802,8932,875,0.9319948675371726,0.7343880099916736,0.8214749027043209
MIA,test,or,25.0,0.3,24696,1802,8932,875,0.9319948675371726,0.7343880099916736,0.8214749027043209
MIA,test,or,25.0,0.4,24696,1802,8932,875,0.9319948675371726,0.7343880099916736,0.8214749027043209
MIA,test,or,25.0,0.5,24696,1802,8932,875,0.9319948675371726,0.7343880099916736,0.8214749027043209
MIA,test,or,30.0,0.0,24923,1510,8705,940,0.9428744372564597,0.7411383371000357,0.8299229117064318
MIA,test,or,30.0,0.05,24923,1510,8705,940,0.9428744372564597,0.7411383371000357,0.8299229117064318
MIA,test,or,30.0,0.1,24923,1510,8705,940,0.9428744372564597,0.7411383371000357,0.8299229117064318
MIA,test,or,30.0,0.2,24923,1510,8705,940,0.9428744372564597,0.7411383371000357,0.8299229117064318
MIA,test,or,30.0,0.3,24923,1510,8705,940,0.9428744372564597,0.7411383371000357,0.8299229117064318
MIA,test,or,30.0,0.4,24923,1510,8705,940,0.9428744372564597,0.7411383371000357,0.8299229117064318
MIA,test,or,30.0,0.5,24923,1510,8705,940,0.9428744372564597,0.7411383371000357,0.8299229117064318
MIA,test,or,40.0,0.0,25334,1110,8294,929,0.958024504613523,0.7533602949922683,0.8434545212411773
MIA,test,or,40.0,0.05,25334,1110,8294,929,0.958024504613523,0.7533602949922683,0.8434545212411773
MIA,test,or,40.0,0.1,25334,1110,8294,929,0.958024504613523,0.7533602949922683,0.8434545212411773
MIA,test,or,40.0,0.2,25334,1110,8294,929,0.958024504613523,0.7533602949922683,0.8434545212411773
MIA,test,or,40.0,0.3,25334,1110,8294,929,0.958024504613523,0.7533602949922683,0.8434545212411773
MIA,test,or,40.0,0.4,25334,1110,8294,929,0.958024504613523,0.7533602949922683,0.8434545212411773
MIA,test,or,40.0,0.5,25334,1110,8294,929,0.958024504613523,0.7533602949922683,0.8434545212411773
MIA,test,or,50.0,0.0,25693,810,7935,870,0.9694374221786213,0.764035922445581,0.8545675275648168
MIA,test,or,50.0,0.05,25693,810,7935,870,0.9694374221786213,0.764035922445581,0.8545675275648168
MIA,test,or,50.0,0.1,25693,810,7935,870,0.9694374221786213,0.764035922445581,0.8545675275648168
MIA,test,or,50.0,0.2,25693,810,7935,870,0.9694374221786213,0.764035922445581,0.8545675275648168
MIA,test,or,50.0,0.3,25693,810,7935,870,0.9694374221786213,0.764035922445581,0.8545675275648168
MIA,test,or,50.0,0.4,25693,810,7935,870,0.9694374221786213,0.764035922445581,0.8545675275648168
MIA,test,or,50.0,0.5,25693,810,7935,870,0.9694374221786213,0.764035922445581,0.8545675275648168
MIA,test,or,75.0,0.0,26287,445,7341,641,0.9833532844530899,0.781699773997859,0.8710072895957588
MIA,test,or,75.0,0.05,26287,445,7341,641,0.9833532844530899,0.781699773997859,0.8710072895957588
MIA,test,or,75.0,0.1,26287,445,7341,641,0.9833532844530899,0.781699773997859,0.8710072895957588
MIA,test,or,75.0,0.2,26287,445,7341,641,0.9833532844530899,0.781699773997859,0.8710072895957588
MIA,test,or,75.0,0.3,26287,445,7341,641,0.9833532844530899,0.781699773997859,0.8710072895957588
MIA,test,or,75.0,0.4,26287,445,7341,641,0.9833532844530899,0.781699773997859,0.8710072895957588
MIA,test,or,75.0,0.5,26287,445,7341,641,0.9833532844530899,0.781699773997859,0.8710072895957588
MIA,test,or,100.0,0.0,26584,279,7044,510,0.9896139671667349,0.7905316997739978,0.8789406688598304
MIA,test,or,100.0,0.05,26584,279,7044,510,0.9896139671667349,0.7905316997739978,0.8789406688598304
MIA,test,or,100.0,0.1,26584,279,7044,510,0.9896139671667349,0.7905316997739978,0.8789406688598304
MIA,test,or,100.0,0.2,26584,279,7044,510,0.9896139671667349,0.7905316997739978,0.8789406688598304
MIA,test,or,100.0,0.3,26584,279,7044,510,0.9896139671667349,0.7905316997739978,0.8789406688598304
MIA,test,or,100.0,0.4,26584,279,7044,510,0.9896139671667349,0.7905316997739978,0.8789406688598304
MIA,test,or,100.0,0.5,26584,279,7044,510,0.9896139671667349,0.7905316997739978,0.8789406688598304
ecCount (peaks),test,and,5.0,0.0,27870,6051,5758,36,0.821614928805165,0.8287736410134412,0.825178759123007
ecCount (peaks),test,and,5.0,0.05,23943,10004,9685,10,0.7053053288950423,0.7119959557511597,0.7086348501664816
ecCount (peaks),test,and,5.0,0.1,23328,10624,10300,5,0.6870876531573987,0.6937076245985488,0.6903817697543652
ecCount (peaks),test,and,5.0,0.2,17993,15963,15635,1,0.5298916244551772,0.5350600689901273,0.5324633049242424
ecCount (peaks),test,and,5.0,0.3,10341,23616,23287,0,0.3045322024913862,0.3075115974782919,0.306014648220759
ecCount (peaks),test,and,5.0,0.4,10332,23625,23296,0,0.3042671614100185,0.30724396336386345,0.305748316934231
ecCount (peaks),test,and,5.0,0.5,5540,28417,28088,0,0.16314751008628559,0.1647436659926252,0.16394170304061553
ecCount (peaks),test,and,10.0,0.0,27875,6042,5753,40,0.8218592446265884,0.8289223266325682,0.8253756754756089
ecCount (peaks),test,and,10.0,0.05,23948,9996,9680,13,0.7055149658260664,0.7121446413702867,0.7088143017818032
ecCount (peaks),test,and,10.0,0.1,23333,10616,10295,8,0.6872956493563875,0.6938563102176758,0.6905603977684716
ecCount (peaks),test,and,10.0,0.2,17993,15963,15635,1,0.5298916244551772,0.5350600689901273,0.5324633049242424
ecCount (peaks),test,and,10.0,0.3,10341,23616,23287,0,0.3045322024913862,0.3075115974782919,0.306014648220759
ecCount (peaks),test,and,10.0,0.4,10332,23625,23296,0,0.3042671614100185,0.30724396336386345,0.305748316934231
ecCount (peaks),test,and,10.0,0.5,5540,28417,28088,0,0.16314751008628559,0.1647436659926252,0.16394170304061553
ecCount (peaks),test,and,15.0,0.0,27875,6042,5753,40,0.8218592446265884,0.8289223266325682,0.8253756754756089
ecCount (peaks),test,and,15.0,0.05,23948,9996,9680,13,0.7055149658260664,0.7121446413702867,0.7088143017818032
ecCount (peaks),test,and,15.0,0.1,23333,10616,10295,8,0.6872956493563875,0.6938563102176758,0.6905603977684716
ecCount (peaks),test,and,15.0,0.2,17993,15963,15635,1,0.5298916244551772,0.5350600689901273,0.5324633049242424
ecCount (peaks),test,and,15.0,0.3,10341,23616,23287,0,0.3045322024913862,0.3075115974782919,0.306014648220759
ecCount (peaks),test,and,15.0,0.4,10332,23625,23296,0,0.3042671614100185,0.30724396336386345,0.305748316934231
ecCount (peaks),test,and,15.0,0.5,5540,28417,28088,0,0.16314751008628559,0.1647436659926252,0.16394170304061553
ecCount (peaks),test,and,20.0,0.0,27875,6042,5753,40,0.8218592446265884,0.8289223266325682,0.8253756754756089
ecCount (peaks),test,and,20.0,0.05,23948,9996,9680,13,0.7055149658260664,0.7121446413702867,0.7088143017818032
ecCount (peaks),test,and,20.0,0.1,23333,10616,10295,8,0.6872956493563875,0.6938563102176758,0.6905603977684716
ecCount (peaks),test,and,20.0,0.2,17993,15963,15635,1,0.5298916244551772,0.5350600689901273,0.5324633049242424
ecCount (peaks),test,and,20.0,0.3,10341,23616,23287,0,0.3045322024913862,0.3075115974782919,0.306014648220759
ecCount (peaks),test,and,20.0,0.4,10332,23625,23296,0,0.3042671614100185,0.30724396336386345,0.305748316934231
ecCount (peaks),test,and,20.0,0.5,5540,28417,28088,0,0.16314751008628559,0.1647436659926252,0.16394170304061553
ecCount (peaks),test,and,25.0,0.0,27875,6042,5753,40,0.8218592446265884,0.8289223266325682,0.8253756754756089
ecCount (peaks),test,and,25.0,0.05,23948,9996,9680,13,0.7055149658260664,0.7121446413702867,0.7088143017818032
ecCount (peaks),test,and,25.0,0.1,23333,10616,10295,8,0.6872956493563875,0.6938563102176758,0.6905603977684716
ecCount (peaks),test,and,25.0,0.2,17993,15963,15635,1,0.5298916244551772,0.5350600689901273,0.5324633049242424
ecCount (peaks),test,and,25.0,0.3,10341,23616,23287,0,0.3045322024913862,0.3075115974782919,0.306014648220759
ecCount (peaks),test,and,25.0,0.4,10332,23625,23296,0,0.3042671614100185,0.30724396336386345,0.305748316934231
ecCount (peaks),test,and,25.0,0.5,5540,28417,28088,0,0.16314751008628559,0.1647436659926252,0.16394170304061553
ecCount (peaks),test,and,30.0,0.0,27875,6042,5753,40,0.8218592446265884,0.8289223266325682,0.8253756754756089
ecCount (peaks),test,and,30.0,0.05,23948,9996,9680,13,0.7055149658260664,0.7121446413702867,0.7088143017818032
ecCount (peaks),test,and,30.0,0.1,23333,10616,10295,8,0.6872956493563875,0.6938563102176758,0.6905603977684716
ecCount (peaks),test,and,30.0,0.2,17993,15963,15635,1,0.5298916244551772,0.5350600689901273,0.5324633049242424
ecCount (peaks),test,and,30.0,0.3,10341,23616,23287,0,0.3045322024913862,0.3075115974782919,0.306014648220759
ecCount (peaks),test,and,30.0,0.4,10332,23625,23296,0,0.3042671614100185,0.30724396336386345,0.305748316934231
ecCount (peaks),test,and,30.0,0.5,5540,28417,28088,0,0.16314751008628559,0.1647436659926252,0.16394170304061553
ecCount (peaks),test,and,40.0,0.0,27875,6042,5753,40,0.8218592446265884,0.8289223266325682,0.8253756754756089
ecCount (peaks),test,and,40.0,0.05,23948,9996,9680,13,0.7055149658260664,0.7121446413702867,0.7088143017818032
ecCount (peaks),test,and,40.0,0.1,23333,10616,10295,8,0.6872956493563875,0.6938563102176758,0.6905603977684716
ecCount (peaks),test,and,40.0,0.2,17993,15963,15635,1,0.5298916244551772,0.5350600689901273,0.5324633049242424
ecCount (peaks),test,and,40.0,0.3,10341,23616,23287,0,0.3045322024913862,0.3075115974782919,0.306014648220759
ecCount (peaks),test,and,40.0,0.4,10332,23625,23296,0,0.3042671614100185,0.30724396336386345,0.305748316934231
ecCount (peaks),test,and,40.0,0.5,5540,28417,28088,0,0.16314751008628559,0.1647436659926252,0.16394170304061553
ecCount (peaks),test,and,50.0,0.0,27875,6042,5753,40,0.8218592446265884,0.8289223266325682,0.8253756754756089
ecCount (peaks),test,and,50.0,0.05,23948,9996,9680,13,0.7055149658260664,0.7121446413702867,0.7088143017818032
ecCount (peaks),test,and,50.0,0.1,23333,10616,10295,8,0.6872956493563875,0.6938563102176758,0.6905603977684716
ecCount (peaks),test,and,50.0,0.2,17993,15963,15635,1,0.5298916244551772,0.5350600689901273,0.5324633049242424
ecCount (peaks),test,and,50.0,0.3,10341,23616,23287,0,0.3045322024913862,0.3075115974782919,0.306014648220759
ecCount (peaks),test,and,50.0,0.4,10332,23625,23296,0,0.3042671614100185,0.30724396336386345,0.305748316934231
ecCount (peaks),test,and,50.0,0.5,5540,28417,28088,0,0.16314751008628559,0.1647436659926252,0.16394170304061553
ecCount (peaks),test,and,75.0,0.0,27875,6042,5753,40,0.8218592446265884,0.8289223266325682,0.8253756754756089
ecCount (peaks),test,and,75.0,0.05,23948,9996,9680,13,0.7055149658260664,0.7121446413702867,0.7088143017818032
ecCount (peaks),test,and,75.0,0.1,23333,10616,10295,8,0.6872956493563875,0.6938563102176758,0.6905603977684716
ecCount (peaks),test,and,75.0,0.2,17993,15963,15635,1,0.5298916244551772,0.5350600689901273,0.5324633049242424
ecCount (peaks),test,and,75.0,0.3,10341,23616,23287,0,0.3045322024913862,0.3075115974782919,0.306014648220759
ecCount (peaks),test,and,75.0,0.4,10332,23625,23296,0,0.3042671614100185,0.30724396336386345,0.305748316934231
ecCount (peaks),test,and,75.0,0.5,5540,28417,28088,0,0.16314751008628559,0.1647436659926252,0.16394170304061553
ecCount (peaks),test,and,100.0,0.0,27875,6042,5753,40,0.8218592446265884,0.8289223266325682,0.8253756754756089
ecCount (peaks),test,and,100.0,0.05,23948,9996,9680,13,0.7055149658260664,0.7121446413702867,0.7088143017818032
ecCount (peaks),test,and,100.0,0.1,23333,10616,10295,8,0.6872956493563875,0.6938563102176758,0.6905603977684716
ecCount (peaks),test,and,100.0,0.2,17993,15963,15635,1,0.5298916244551772,0.5350600689901273,0.5324633049242424
ecCount (peaks),test,and,100.0,0.3,10341,23616,23287,0,0.3045322024913862,0.3075115974782919,0.306014648220759
ecCount (peaks),test,and,100.0,0.4,10332,23625,23296,0,0.3042671614100185,0.30724396336386345,0.305748316934231
ecCount (peaks),test,and,100.0,0.5,5540,28417,28088,0,0.16314751008628559,0.1647436659926252,0.16394170304061553
ecCount (peaks),test,or,5.0,0.0,28599,5288,5029,70,0.8439519579779856,0.8504520042821458,0.8471895134414574
ecCount (peaks),test,or,5.0,0.05,28599,5289,5029,69,0.8439270538243626,0.8504520042821458,0.8471769654600391
ecCount (peaks),test,or,5.0,0.1,28599,5289,5029,69,0.8439270538243626,0.8504520042821458,0.8471769654600391
ecCount (peaks),test,or,5.0,0.2,28595,5296,5033,66,0.843734324746983,0.8503330557868443,0.8470208385787704
ecCount (peaks),test,or,5.0,0.3,28595,5296,5033,66,0.843734324746983,0.8503330557868443,0.8470208385787704
ecCount (peaks),test,or,5.0,0.4,28595,5296,5033,66,0.843734324746983,0.8503330557868443,0.8470208385787704
ecCount (peaks),test,or,5.0,0.5,28595,5296,5033,66,0.843734324746983,0.8503330557868443,0.8470208385787704
ecCount (peaks),test,or,10.0,0.0,30915,2456,2713,586,0.9264031644242007,0.9193231830617342,0.9228495947700712
ecCount (peaks),test,or,10.0,0.05,30915,2456,2713,586,0.9264031644242007,0.9193231830617342,0.9228495947700712
ecCount (peaks),test,or,10.0,0.1,30915,2456,2713,586,0.9264031644242007,0.9193231830617342,0.9228495947700712
ecCount (peaks),test,or,10.0,0.2,30915,2456,2713,586,0.9264031644242007,0.9193231830617342,0.9228495947700712
ecCount (peaks),test,or,10.0,0.3,30915,2456,2713,586,0.9264031644242007,0.9193231830617342,0.9228495947700712
ecCount (peaks),test,or,10.0,0.4,30915,2456,2713,586,0.9264031644242007,0.9193231830617342,0.9228495947700712
ecCount (peaks),test,or,10.0,0.5,30915,2456,2713,586,0.9264031644242007,0.9193231830617342,0.9228495947700712
ecCount (peaks),test,or,15.0,0.0,31054,1876,2574,1027,0.9430306711205587,0.9234566432734626,0.9331410198623756
ecCount (peaks),test,or,15.0,0.05,31054,1876,2574,1027,0.9430306711205587,0.9234566432734626,0.9331410198623756
ecCount (peaks),test,or,15.0,0.1,31054,1876,2574,1027,0.9430306711205587,0.9234566432734626,0.9331410198623756
ecCount (peaks),test,or,15.0,0.2,31054,1876,2574,1027,0.9430306711205587,0.9234566432734626,0.9331410198623756
ecCount (peaks),test,or,15.0,0.3,31054,1876,2574,1027,0.9430306711205587,0.9234566432734626,0.9331410198623756
ecCount (peaks),test,or,15.0,0.4,31054,1876,2574,1027,0.9430306711205587,0.9234566432734626,0.9331410198623756
ecCount (peaks),test,or,15.0,0.5,31054,1876,2574,1027,0.9430306711205587,0.9234566432734626,0.9331410198623756
ecCount (peaks),test,or,20.0,0.0,31137,1545,2491,1275,0.9527262713420231,0.9259248245509695,0.9391343688734731
ecCount (peaks),test,or,20.0,0.05,31137,1545,2491,1275,0.9527262713420231,0.9259248245509695,0.9391343688734731
ecCount (peaks),test,or,20.0,0.1,31137,1545,2491,1275,0.9527262713420231,0.9259248245509695,0.9391343688734731
ecCount (peaks),test,or,20.0,0.2,31137,1545,2491,1275,0.9527262713420231,0.9259248245509695,0.9391343688734731
ecCount (peaks),test,or,20.0,0.3,31137,1545,2491,1275,0.9527262713420231,0.9259248245509695,0.9391343688734731
ecCount (peaks),test,or,20.0,0.4,31137,1545,2491,1275,0.9527262713420231,0.9259248245509695,0.9391343688734731
ecCount (peaks),test,or,20.0,0.5,31137,1545,2491,1275,0.9527262713420231,0.9259248245509695,0.9391343688734731
ecCount (peaks),test,or,25.0,0.0,31224,1303,2404,1430,0.9599409721154732,0.9285119543237778,0.9439649308442295
ecCount (peaks),test,or,25.0,0.05,31224,1303,2404,1430,0.9599409721154732,0.9285119543237778,0.9439649308442295
ecCount (peaks),test,or,25.0,0.1,31224,1303,2404,1430,0.9599409721154732,0.9285119543237778,0.9439649308442295
ecCount (peaks),test,or,25.0,0.2,31224,1303,2404,1430,0.9599409721154732,0.9285119543237778,0.9439649308442295
ecCount (peaks),test,or,25.0,0.3,31224,1303,2404,1430,0.9599409721154732,0.9285119543237778,0.9439649308442295
ecCount (peaks),test,or,25.0,0.4,31224,1303,2404,1430,0.9599409721154732,0.9285119543237778,0.9439649308442295
ecCount (peaks),test,or,25.0,0.5,31224,1303,2404,1430,0.9599409721154732,0.9285119543237778,0.9439649308442295
ecCount (peaks),test,or,30.0,0.0,31328,1121,2300,1508,0.9654534808468674,0.9316046152016177,0.9482270684201765
ecCount (peaks),test,or,30.0,0.05,31328,1121,2300,1508,0.9654534808468674,0.9316046152016177,0.9482270684201765
ecCount (peaks),test,or,30.0,0.1,31328,1121,2300,1508,0.9654534808468674,0.9316046152016177,0.9482270684201765
ecCount (peaks),test,or,30.0,0.2,31328,1121,2300,1508,0.9654534808468674,0.9316046152016177,0.9482270684201765
ecCount (peaks),test,or,30.0,0.3,31328,1121,2300,1508,0.9654534808468674,0.9316046152016177,0.9482270684201765
ecCount (peaks),test,or,30.0,0.4,31328,1121,2300,1508,0.9654534808468674,0.9316046152016177,0.9482270684201765
ecCount (peaks),test,or,30.0,0.5,31328,1121,2300,1508,0.9654534808468674,0.9316046152016177,0.9482270684201765
ecCount (peaks),test,or,40.0,0.0,31568,844,2060,1545,0.9739602616314945,0.9387415249197097,0.9560266505148395
ecCount (peaks),test,or,40.0,0.05,31568,844,2060,1545,0.9739602616314945,0.9387415249197097,0.9560266505148395
ecCount (peaks),test,or,40.0,0.1,31568,844,2060,1545,0.9739602616314945,0.9387415249197097,0.9560266505148395
ecCount (peaks),test,or,40.0,0.2,31568,844,2060,1545,0.9739602616314945,0.9387415249197097,0.9560266505148395
ecCount (peaks),test,or,40.0,0.3,31568,844,2060,1545,0.9739602616314945,0.9387415249197097,0.9560266505148395
ecCount (peaks),test,or,40.0,0.4,31568,844,2060,1545,0.9739602616314945,0.9387415249197097,0.9560266505148395
ecCount (peaks),test,or,40.0,0.5,31568,844,2060,1545,0.9739602616314945,0.9387415249197097,0.9560266505148395
ecCount (peaks),test,or,50.0,0.0,31794,656,1834,1507,0.9797842835130971,0.9454621149042465,0.9623172614183237
ecCount (peaks),test,or,50.0,0.05,31794,656,1834,1507,0.9797842835130971,0.9454621149042465,0.9623172614183237
ecCount (peaks),test,or,50.0,0.1,31794,656,1834,1507,0.9797842835130971,0.9454621149042465,0.9623172614183237
ecCount (peaks),test,or,50.0,0.2,31794,656,1834,1507,0.9797842835130971,0.9454621149042465,0.9623172614183237
ecCount (peaks),test,or,50.0,0.3,31794,656,1834,1507,0.9797842835130971,0.9454621149042465,0.9623172614183237
ecCount (peaks),test,or,50.0,0.4,31794,656,1834,1507,0.9797842835130971,0.9454621149042465,0.9623172614183237
ecCount (peaks),test,or,50.0,0.5,31794,656,1834,1507,0.9797842835130971,0.9454621149042465,0.9623172614183237
ecCount (peaks),test,or,75.0,0.0,32187,394,1441,1376,0.9879070623983303,0.9571488045676222,0.9722847347037412
ecCount (peaks),test,or,75.0,0.05,32187,394,1441,1376,0.9879070623983303,0.9571488045676222,0.9722847347037412
ecCount (peaks),test,or,75.0,0.1,32187,394,1441,1376,0.9879070623983303,0.9571488045676222,0.9722847347037412
ecCount (peaks),test,or,75.0,0.2,32187,394,1441,1376,0.9879070623983303,0.9571488045676222,0.9722847347037412
ecCount (peaks),test,or,75.0,0.3,32187,394,1441,1376,0.9879070623983303,0.9571488045676222,0.9722847347037412
ecCount (peaks),test,or,75.0,0.4,32187,394,1441,1376,0.9879070623983303,0.9571488045676222,0.9722847347037412
ecCount (peaks),test,or,75.0,0.5,32187,394,1441,1376,0.9879070623983303,0.9571488045676222,0.9722847347037412
ecCount (peaks),test,or,100.0,0.0,32378,265,1250,1314,0.9918818736023037,0.9628285952182705,0.97713932187533
ecCount (peaks),test,or,100.0,0.05,32378,265,1250,1314,0.9918818736023037,0.9628285952182705,0.97713932187533
ecCount (peaks),test,or,100.0,0.1,32378,265,1250,1314,0.9918818736023037,0.9628285952182705,0.97713932187533
ecCount (peaks),test,or,100.0,0.2,32378,265,1250,1314,0.9918818736023037,0.9628285952182705,0.97713932187533
ecCount (peaks),test,or,100.0,0.3,32378,265,1250,1314,0.9918818736023037,0.9628285952182705,0.97713932187533
ecCount (peaks),test,or,100.0,0.4,32378,265,1250,1314,0.9918818736023037,0.9628285952182705,0.97713932187533
ecCount (peaks),test,or,100.0,0.5,32378,265,1250,1314,0.9918818736023037,0.9628285952182705,0.97713932187533
ecCount (threshold mask),test,and,5.0,0.0,26646,5388,6982,1,0.8318037085596554,0.7923754014511717,0.8116109774298681
ecCount (threshold mask),test,and,5.0,0.05,26237,5798,7391,0,0.8190104573123147,0.7802129178065897,0.7991410687906432
ecCount (threshold mask),test,and,5.0,0.1,24248,7787,9380,0,0.7569221164351491,0.7210657785179018,0.738559005832813
ecCount (threshold mask),test,and,5.0,0.2,16862,15173,16766,0,0.5263617917902295,0.5014273819436185,0.5135921295097696
ecCount (threshold mask),test,and,5.0,0.3,3503,28532,30125,0,0.10934914936787889,0.10416914476031879,0.106696312992096
ecCount (threshold mask),test,and,5.0,0.4,574,31461,33054,0,0.01791790229436554,0.01706910907577019,0.017483209722370285
ecCount (threshold mask),test,and,5.0,0.5,282,31753,33346,0,0.008802871858904323,0.008385868918758178,0.008589312093568677
ecCount (threshold mask),test,and,10.0,0.0,28533,3481,5095,21,0.8912663209845693,0.8484893541096705,0.8693519393071509
ecCount (threshold mask),test,and,10.0,0.05,27036,4997,6592,2,0.8440046202353823,0.8039728797430713,0.8235025357518162
ecCount (threshold mask),test,and,10.0,0.1,24653,7382,8975,0,0.7695645387857032,0.7331093136671821,0.7508947200097468
ecCount (threshold mask),test,and,10.0,0.2,16865,15170,16763,0,0.5264554393631965,0.5015165933150946,0.5136835051703394
ecCount (threshold mask),test,and,10.0,0.3,3503,28532,30125,0,0.10934914936787889,0.10416914476031879,0.106696312992096
ecCount (threshold mask),test,and,10.0,0.4,574,31461,33054,0,0.01791790229436554,0.01706910907577019,0.017483209722370285
ecCount (threshold mask),test,and,10.0,0.5,282,31753,33346,0,0.008802871858904323,0.008385868918758178,0.008589312093568677
ecCount (threshold mask),test,and,15.0,0.0,28538,3475,5090,22,0.8914503482960048,0.8486380397287975,0.8695175271552841
ecCount (threshold mask),test,and,15.0,0.05,27040,4993,6588,2,0.8441294914619298,0.8040918282383728,0.8236243736769163
ecCount (threshold mask),test,and,15.0,0.1,24654,7381,8974,0,0.7695957546433588,0.7331390507910075,0.75092517856327
ecCount (threshold mask),test,and,15.0,0.2,16865,15170,16763,0,0.5264554393631965,0.5015165933150946,0.5136835051703394
ecCount (threshold mask),test,and,15.0,0.3,3503,28532,30125,0,0.10934914936787889,0.10416914476031879,0.106696312992096
ecCount (threshold mask),test,and,15.0,0.4,574,31461,33054,0,0.01791790229436554,0.01706910907577019,0.017483209722370285
ecCount (threshold mask),test,and,15.0,0.5,282,31753,33346,0,0.008802871858904323,0.008385868918758178,0.008589312093568677
ecCount (threshold mask),test,and,20.0,0.0,28538,3475,5090,22,0.8914503482960048,0.8486380397287975,0.8695175271552841
ecCount (threshold mask),test,and,20.0,0.05,27040,4993,6588,2,0.8441294914619298,0.8040918282383728,0.8236243736769163
ecCount (threshold mask),test,and,20.0,0.1,24654,7381,8974,0,0.7695957546433588,0.7331390507910075,0.75092517856327
ecCount (threshold mask),test,and,20.0,0.2,16865,15170,16763,0,0.5264554393631965,0.5015165933150946,0.5136835051703394
ecCount (threshold mask),test,and,20.0,0.3,3503,28532,30125,0,0.10934914936787889,0.10416914476031879,0.106696312992096
ecCount (threshold mask),test,and,20.0,0.4,574,31461,33054,0,0.01791790229436554,0.01706910907577019,0.017483209722370285
ecCount (threshold mask),test,and,20.0,0.5,282,31753,33346,0,0.008802871858904323,0.008385868918758178,0.008589312093568677
ecCount (threshold mask),test,and,25.0,0.0,28538,3475,5090,22,0.8914503482960048,0.8486380397287975,0.8695175271552841
ecCount (threshold mask),test,and,25.0,0.05,27040,4993,6588,2,0.8441294914619298,0.8040918282383728,0.8236243736769163
ecCount (threshold mask),test,and,25.0,0.1,24654,7381,8974,0,0.7695957546433588,0.7331390507910075,0.75092517856327
ecCount (threshold mask),test,and,25.0,0.2,16865,15170,16763,0,0.5264554393631965,0.5015165933150946,0.5136835051703394
ecCount (threshold mask),test,and,25.0,0.3,3503,28532,30125,0,0.10934914936787889,0.10416914476031879,0.106696312992096
ecCount (threshold mask),test,and,25.0,0.4,574,31461,33054,0,0.01791790229436554,0.01706910907577019,0.017483209722370285
ecCount (threshold mask),test,and,25.0,0.5,282,31753,33346,0,0.008802871858904323,0.008385868918758178,0.008589312093568677
ecCount (threshold mask),test,and,30.0,0.0,28538,3475,5090,22,0.8914503482960048,0.8486380397287975,0.8695175271552841
